POC ID,POC Name,Won POC Count,WON POC est. HL,FC acc rate,WON POC FC HL,Baseline Nov 23 – Oct 24,LOST POCs,LOST POCs HL,NET NEW POCs,NET NEW POC HL,NET CHURN Rate,Order Classification
29243222,JOHN LOCKE,1,100,,,,,,1,,,One Time Order
29250692,SEESTERN IM BRITZER GARTEN,1,20,,,,,,1,,,One Time Order
29254382,SSG BREITSCHEID VEREINSHEIM,1,25,,,21,,,1,,,One Time Order
29254708,RELAX,1,25,,,,,,1,,,One Time Order
29256858,LUG,1,30,,,0,1,8,0,-7.59,-1946.2%,One Time Order
29259169,BROMBACHSEE ERLEBNISSCHIFFAHRT,1,20,,,1,,,1,,,One Time Order
29260407,SCHNUCKEN,1,40,,,,,,1,,,One Time Order
29260735,ANNO 1905,1,6,,,,,,1,,,One Time Order
29263852,DISKOTHEK CRAZY,1,38,,,,,,1,,,One Time Order
29265356,KÖNIG CITY,1,90,,,,,,1,,,One Time Order
29265986,SCOTTI´S SPORTSBAR,1,25,,,,,,1,,,One Time Order
29266056,CAFE PAPRICA BAR,1,20,,,1,,,1,,,One Time Order
29266958,BEI JONNY,1,20,,,,,,1,,,One Time Order
29267554,KAISERHOF,1,20,,,2,1,7,0,-6.6000000000000005,-366.7%,One Time Order
29268344,ZUR MOORLOSEN KIRCHE,1,30,,,,,,1,,,One Time Order
29269888,OLLY`S ALMHÜTTE,1,60,,,0,1,1,0,-0.56,-140.0%,One Time Order
29271911,CUMBERLANDSCHE BAR & CLUB,1,125,,,,,,1,,,One Time Order
29272108,HA VIETNAMESE CUISINE,1,25,,,,,,1,,,One Time Order
29276760,KLEENE TOCKE,1,20,,,,,,1,,,One Time Order
29278828,ORBIT,1,25,,,,,,1,,,One Time Order
29278837,VEREINSHEIM TV ROT-WEISS,1,85,,,32,1,73,0,-73.45,-230.2%,One Time Order
29280793,IRISH FIDDLER,1,270,,,,,,1,,,One Time Order
29280796,JAHE'S BAR,1,26,,,,,,1,,,One Time Order
29281343,SILENT SINNERS,1,20,,,,,,1,,,One Time Order
29282160,MARKTLOKAL,1,6,,,1,,,1,,,One Time Order
29282788,WS-CLUB,1,15,,,1,,,1,,,One Time Order
29284998,MAUSEFALLE,1,20,,,,,,1,,,One Time Order
29286254,CAFE DEL SOL,1,20,,,,,,1,,,One Time Order
29290539,HAVANNA,1,20,,,1,,,1,,,One Time Order
29291161,SALOPPE,1,20,,,,,,1,,,One Time Order
29291519,MAMPHY,1,20,,,1,,,1,,,One Time Order
29291839,MY MEM,1,0,,,,,,,,,One Time Order
29295885,CASERA,1,20,,,,,,1,,,One Time Order
29296025,HARZER TEUFELSKÜCHE,1,60,,,,,,1,,,One Time Order
29320747,LA PAZ AZAD ISMAIL,1,30,,,,,,1,,,One Time Order
29322996,CAFE KÜSTE & CLUB,1,6,,,1,,,1,,,One Time Order
29326912,CEDO,1,180,,,,,,1,,,One Time Order
29327326,TONY'S PIZZERIA STAHNSDORF,1,90,,,,,,1,,,One Time Order
29329582,YOGI SNACK GMBH,1,25,,,0,1,0,0,-0.44999999999999996,-500.0%,One Time Order
29330071,RECEDE CLUB SEZ,1,120,,,,,,1,,,One Time Order
29347387,AHOI STRANDKISOK,1,50,,,39,,,1,,,One Time Order
29365752,CAPONE,1,35,,,,,,1,,,One Time Order
29370066,WATERLILY,1,20,,,,,,1,,,One Time Order
29374389,"PIZZERIA ""DA FRANCO""",1,26,,,,,,1,,,One Time Order
29377424,GOLFCLUB WILDESHAUSEN,1,45,,,0,,,1,,,One Time Order
29386635,TAQUERIA EL AMIGO,1,35,,,,,,1,,,One Time Order
29417707,VAHRER ECK,1,40,,,,,,1,,,One Time Order
29420764,SPORTGASTSTÄTTE VIERKIRCHEN Z. BRÄU,1,45,,,34,,,1,,,One Time Order
29427845,CALI BOCCA,1,45,,,,,,1,,,One Time Order
29429260,RIVA CAFE - RISTORANTE,1,10,,,,,,1,,,One Time Order
29447467,CARBONERO BAR DE TAPAS RESTAURANTE,1,60,,,,,,1,,,One Time Order
29456897,SUARE LOUNGE,1,20,,,,,,1,,,One Time Order
29456904,LIEBLINGS CAFE & BAR,1,45,,,0,,,1,,,One Time Order
29468492,MÄRKISCHER GOLFCLUB,1,30,,,,,,1,,,One Time Order
29470609,VIET RICE & SUSHI,1,60,,,,,,1,,,One Time Order
29470773,CHINBA,1,21,,,,,,1,,,One Time Order
29472125,SUNDOWN BEACH,1,20,,,,,,1,,,One Time Order
29477141,HOTEL WALDESRAND,1,6,,,,,,1,,,One Time Order
29477967,GASTSTÄTTE CANDY,1,30,,,1,,,1,,,One Time Order
29479086,MAURITIUS HOTEL UND THERME,1,20,,,,,,1,,,One Time Order
29483062,WOHNZIMMER,1,32,,,,,,1,,,One Time Order
29483625,R-CAFE MÖHNESEE,1,40,,,,,,1,,,One Time Order
29485426,HEIMAT,1,500,,,,,,1,,,One Time Order
29495081,GASTHAUS ZUR RÖMERSCHANZ,1,28,,,,,,1,,,One Time Order
29507649,DE.LITE,1,20,,,,,,1,,,One Time Order
29512075,WODESSA LOUNGE,1,60,,,,,,1,,,One Time Order
29518062,MARIBONDO BOWLING,1,80,,,0,,,1,,,One Time Order
29521118,CHALET BILLARDCAFE,1,35,,,,,,1,,,One Time Order
29526683,HELLAS,1,35,,,,,,1,,,One Time Order
29527795,PICCOLI,1,7,,,,,,1,,,One Time Order
29529818,FRANZISKANER STÜBERL,1,30,,,,,,1,,,One Time Order
29533608,GRAPES AND SALT,1,30,,,,,,1,,,One Time Order
29534478,SOFRA,1,140,,,,,,1,,,One Time Order
29535147,IL TARANTINO,1,10,,,,,,1,,,One Time Order
29539752,ELIS CLUB,1,40,,,,,,1,,,One Time Order
29547275,HERR MACKENSTEIN,1,20,,,,,,1,,,One Time Order
29559690,ESCAPE LOUNGE,1,35,,,,,,1,,,One Time Order
29567708,WEST BOWLING KÖLN,1,30,,,,,,1,,,One Time Order
29568411,SHOTZ,1,100,,,,,,1,,,One Time Order
29574433,FREIBAD & EVENTS,1,65,,,,,,1,,,One Time Order
29575309,DIVA,1,20,,,,,,1,,,One Time Order
29579257,SWEET CLUB,1,50,,,,,,1,,,One Time Order
29579264,BRÄUSTÜBERL,1,25,,,,,,1,,,One Time Order
29579395,TANGENTE,1,50,,,,,,1,,,One Time Order
29595022,GASTSTÄTTE LÖTKOLBEN,1,20,,,3,,,1,,,One Time Order
29597371,ELSTERARTIG,1,20,,,,,,1,,,One Time Order
29609828,EVENTS4FRIENDS,1,25,,,,,,1,,,One Time Order
29616786,GASTSTÄTTE  ZUR RHEINFÄHRE,1,25,,,2,,,1,,,One Time Order
29617726,ASIA-IMBISS,1,40,,,34,,,1,,,One Time Order
29627267,SOLEWERK HOTEL,1,30,,,,,,1,,,One Time Order
29634259,KIELER WOCHE-HALLE 400,1,20,,,,,,1,,,One Time Order
29634700,LOS CHICOS,1,35,,,,,,1,,,One Time Order
29643292,GASTSTÄTTE SCHREBERKLAUSE,1,25,,,1,,,1,,,One Time Order
29645910,KRISE,1,20,,,,,,1,,,One Time Order
29650584,GASTSTÄTTE TRÖDELKNEIPE,1,20,,,,,,1,,,One Time Order
29651643,STUDIO'S,1,30,,,,,,1,,,One Time Order
29669173,LANDHAUS IM BOTANISCHEN GARTEN,1,40,,,0,1,1,0,-0.64,-800.0%,One Time Order
29679870,CASA BIANCA,1,15,,,,,,1,,,One Time Order
29695306,SHOTZ,1,50,,,,,,1,,,One Time Order
29722697,DJK WACKER MECKLENBECK E.V.,1,8,,,3,,,1,,,One Time Order
29723999,CLUB GROßE FREIHEIT 114,1,9,,,7,,,1,,,One Time Order
29725079,CAFE KLAHSEN,1,20,,,,,,1,,,One Time Order
29726001,GASTSTÄTTE ROTBART,1,6,,,1,,,1,,,One Time Order
29727583,FRISCO,1,25,,,,,,1,,,One Time Order
29727922,EL CID 2,1,60,,,,,,1,,,One Time Order
29744264,BEVERLY KILLS,1,20,,,,,,1,,,One Time Order
29746328,CAPITAL BEACH,1,50,,,,,,1,,,One Time Order
29746521,DISCOTHEK MEGA DISCOSTADL,1,120,,,34,,,1,,,One Time Order
29746528,THE LOFT,1,25,,,,,,1,,,One Time Order
29748567,ACHELESCHWAIG WIRTSHAUS,1,55,,,24,1,47,0,-46.8,-194.2%,One Time Order
29752370,MUNDO ALT-MARIENDORF,1,20,,,,,,1,,,One Time Order
29754131,ANLEGER 1870,1,25,,,,,,1,,,One Time Order
29754969,FLEETSCHLÖSSCHEN,1,8,,,,,,1,,,One Time Order
29756118,SUPERMERCATO ITALIANO,1,70,,,,,,1,,,One Time Order
29759479,WAIDMANNSHEIL,1,42,,,,,,1,,,One Time Order
29759805,WESTFÄLISCHER HOF,1,20,,,,,,1,,,One Time Order
29775736,LA ESTRELLA,1,25,,,,,,1,,,One Time Order
29787516,BISTRO TWINBELLS,1,20,,,,,,1,,,One Time Order
29791801,HSG FRIESOYTHE,1,20,,,,,,1,,,One Time Order
29794564,CABALLITO,1,35,,,,,,1,,,One Time Order
29796718,AVIE CLUB,1,20,,,,,,1,,,One Time Order
29797225,TAPAS JEDERMANN'S,1,15,,,1,,,1,,,One Time Order
29801421,GREY CLUB,1,20,,,,,,1,,,One Time Order
29805199,GZSZ,1,20,,,,,,1,,,One Time Order
29833365,MITTENDRIN,1,60,,,,,,1,,,One Time Order
29835693,RIVO SPREETERRASSEN,1,30,,,,,,1,,,One Time Order
29955057,BIERGARTEN AM HERTHASEE,1,20,,,,,,1,,,One Time Order
29955420,KOHLMANN'S CAFÉ & WEINBAR,1,30,,,,,,1,,,One Time Order
29957143,SUSHI FUR HAMBURG,1,20,,,,,,1,,,One Time Order
29957555,EL LOBO TAPAS BAR,1,80,,,,,,1,,,One Time Order
29957623,GOURMET TEMPEL,1,120,,,,,,1,,,One Time Order
29977664,SPORTVEREIN NUSSBACH E.V.,1,50,,,,,,1,,,One Time Order
29979380,COPA CABANA,1,40,,,,,,1,,,One Time Order
29980235,BRÜNGERS LAND-WIRTSCHAFT,1,12,,,,,,1,,,One Time Order
29982824,MUSIC CAFÉ,1,8,,,,,,1,,,One Time Order
29985556,IMBISS OLYMPISCHE BRÜCKE,1,15,,,,,,1,,,One Time Order
29988357,FOGON LATINO BAR,1,20,,,,,,1,,,One Time Order
40016527,RESTAURANT KAKTUS,1,20,,,,,,1,,,One Time Order
40020706,THE MOOD BURGER,1,20,,,,,,1,,,One Time Order
40023374,IKER PARTYZELTE,1,90,,,,,,1,,,One Time Order
40023432,KAMMERSPIELE KLEINMACHNOW,1,20,,,,,,1,,,One Time Order
40023808,EL OLIVAR RESTAURANT,1,20,,,1,,,1,,,One Time Order
40024519,SCHLOSS BIESDORF,1,66,,,,,,1,,,One Time Order
40025517,FRIDAS PIER GMBH,1,40,,,0,,,1,,,One Time Order
40027270,RESTAURANT  TOLLE KNOLLE,1,50,,,,,,1,,,One Time Order
40057705,SPIELO SÜD,1,28,,,,,,1,,,One Time Order
40071101,TRATTORIA INCONTRI,1,55,,,,,,1,,,One Time Order
40094439,PODIUM,1,20,,,,,,1,,,One Time Order
40095784,EZIM CAFE,1,15,,,,,,1,,,One Time Order
40099338,GREEN HOOKAH LOUNGE,1,25,,,,,,1,,,One Time Order
40099516,EL DON STEAKHAUS,1,40,,,,,,1,,,One Time Order
40103477,BINH VIT KANTINE,1,20,,,,,,1,,,One Time Order
40108679,HAUS AM PARK,1,20,,,0,1,1,0,-0.56,-700.0%,One Time Order
40110974,EL CASTILLO,1,17,,,,,,1,,,One Time Order
40115831,UNDERLUX,1,30,,,,,,1,,,One Time Order
40122681,LUCKY´S BIER BAR,1,25,,,,,,1,,,One Time Order
40124252,LUISENBAD,1,25,,,1,1,6,0,-6,-600.0%,One Time Order
40126708,CASA DE ESPANA,1,40,,,1,,,1,,,One Time Order
40126777,ASIA & BURGER,1,10,,,,,,1,,,One Time Order
40129302,"HAFENBAR ""ZUM DÜNNEN HERING""",1,30,,,,,,1,,,One Time Order
40131028,3. ORT,1,40,,,,,,1,,,One Time Order
40131875,LAVIE,1,5,,,,,,1,,,One Time Order
40131896,RESTAURANT THE ASH GRAB & GO,1,3,,,0,1,1,0,-1.36,-283.3%,One Time Order
40131994,7 STARS DINER,1,6,,,,,,1,,,One Time Order
40132340,FISCH-BORKE,1,40,,,0,,,1,,,One Time Order
40132574,SPORTWELT STRAUSBERG,1,25,,,,,,1,,,One Time Order
40133126,PUB LOST SOUL,1,20,,,12,,,1,,,One Time Order
40134518,KIYANO RESTAURANT,1,250,,,,,,1,,,One Time Order
40134801,GOLDEN FLAMINGO,1,20,,,1,1,2,0,-1.58,-175.6%,One Time Order
40137438,KUFFLER CATERING GMBH,1,200,,,,,,1,,,One Time Order
40139058,FREIBAD SOTTRUM,1,35,,,,,,1,,,One Time Order
40140470,CAFÉ DAILY,1,30,,,,,,1,,,One Time Order
40140658,VIS A VIS DEGGENDORF,1,20,,,,,,1,,,One Time Order
40142145,PAPI BAR,1,100,,,,,,1,,,One Time Order
40142630,VOS DRINKS,1,50,,,,,,1,,,One Time Order
40142780,IRISH PUB,1,20,,,,,,1,,,One Time Order
40143489,SPORTHEIM 1. FC NEUNSTETTEN,1,30,,,2,,,1,,,One Time Order
40143499,E5 EVENTS,1,20,,,0,1,0,0,-0.43,-100.0%,One Time Order
40144538,MODA LOUNGE,1,20,,,,,,1,,,One Time Order
40145757,APPALACHIEN BARBECUE & BURGER,1,20,,,,,,1,,,One Time Order
40146089,OSTUFER,1,50,,,,,,1,,,One Time Order
40146422,DIE SATTMACHER GMBH,1,60,,,,,,1,,,One Time Order
40146519,SSV REUTLINGEN 1905 FUßBALL E.,1,20,,,18,,,1,,,One Time Order
40147192,JONAS,1,80,,,,,,1,,,One Time Order
40147355,HOTEL HARZ,1,40,,,,,,1,,,One Time Order
40147442,MC DREAMS HOTEL,1,20,,,,,,1,,,One Time Order
40147557,BODHI,1,80,,,,,,1,,,One Time Order
40147590,CAROLASCHLÖSSCHEN,1,20,,,2,,,1,,,One Time Order
40147596,PRIME KEBAP,1,10,,,,,,1,,,One Time Order
40147630,NOA 2 STUTTGART,1,180,,,,,,1,,,One Time Order
40147878,PORTAL,1,80,,,,,,1,,,One Time Order
40148181,CASA DE TAPAS,1,50,,,,,,1,,,One Time Order
40148453,MK DÖNERSPEZIALITÄTEN,1,25,,,,,,1,,,One Time Order
40148461,MS ZELTBAU & PARTYSERVICE,1,20,,,0,,,1,,,One Time Order
40148478,MOTKE,1,10,,,,,,1,,,One Time Order
40148544,COCKTAILS & MORE,1,40,,,,,,1,,,One Time Order
40148571,BISTRO MELODY,1,120,,,,,,1,,,One Time Order
40148630,ALTES ZOLLHAUS,1,100,,,,,,1,,,One Time Order
40148635,BANKERS CLUB,1,40,,,,,,1,,,One Time Order
40148682,MEIN VORBILD,1,50,,,,,,1,,,One Time Order
40148700,WEIZENWAGEN,1,25,,,,,,1,,,One Time Order
40148719,FELIX ARNOLD VERANSTALTUNGSTECHNIK,1,20,,,,,,1,,,One Time Order
40148744,"RESTAURANT ""BEI TERESA""",1,50,,,,,,1,,,One Time Order
40148745,24 CARAT COKTAILBAR,1,7,,,,,,1,,,One Time Order
40148789,PERA HAMBURG,1,6,,,,,,1,,,One Time Order
40148793,CAFE OLE,1,6,,,,,,1,,,One Time Order
40148795,AIRPORT PLAZA,1,6,,,,,,1,,,One Time Order
40148869,SAARAHA CONCEPT,1,30,,,,,,1,,,One Time Order
40148884,LIL BAR,1,20,,,,,,1,,,One Time Order
40149068,ST. ELISABETH,1,30,,,1,,,1,,,One Time Order
40149340,BISTRO LA MAISON,1,10,,,,,,1,,,One Time Order
40149364,5 JAHRESZEITEN,1,20,,,,,,1,,,One Time Order
40149370,JHRINGS,1,30,,,,,,1,,,One Time Order
40149400,JACKS PARLOR,1,50,,,,,,1,,,One Time Order
40149427,HABANA BAR,1,20,,,,,,1,,,One Time Order
40149428,LA HABANA,1,20,,,,,,1,,,One Time Order
40149442,ISKELE FISCH GRILL HAUS,1,60,,,,,,1,,,One Time Order
40149447,RED ZONE,1,60,,,,,,1,,,One Time Order
40149555,FITZCARRALDO,1,50,,,,,,1,,,One Time Order
40149556,BAR RODERICH,1,50,,,,,,1,,,One Time Order
40149685,PILSSTÜBCHEN REINHARDSHAUSEN,1,20,,,,,,1,,,One Time Order
40149753,CELAVIE,1,30,,,,,,1,,,One Time Order
40149754,GASTHOF ZUR KRONE,1,150,,,,,,1,,,One Time Order
40149761,INVENT CONCEPTS,1,15,,,,,,1,,,One Time Order
40149769,ZAFAR,1,50,,,,,,1,,,One Time Order
40149799,DUE AMICI,1,7,,,,,,1,,,One Time Order
40149800,TONI´S,1,60,,,,,,1,,,One Time Order
40149820,LÒSTERIA ARENA,1,40,,,,,,1,,,One Time Order
40150071,"BETTER TASTE, LUNCH&MORE",1,70,,,,,,1,,,One Time Order
40150073,"BETTER TASTE, FORUM-STADTHALLE",1,80,,,,,,1,,,One Time Order
40150074,"BETTER TASTE, DANZA-RESTAURANT IM F",1,40,,,,,,1,,,One Time Order
40150076,"BETTER TASTE, FILHARMONIE-STADTHALL",1,80,,,,,,1,,,One Time Order
40150077,"BETTER TASTE,  AMG-VIP-LOUNGE",1,30,,,,,,1,,,One Time Order
40150078,"BETTER TASTE, BÖSER HOF",1,120,,,,,,1,,,One Time Order
40150259,GARTENFREUNDE WAIBLINGEN E.V,1,20,,,,,,1,,,One Time Order
40150333,ZEITVERTREIB,1,25,,,,,,1,,,One Time Order
40150336,FFW VOLKMARODE,1,28,,,,,,1,,,One Time Order
40150664,WARSTEINER TREFF,1,15,,,,,,1,,,One Time Order
40150712,VITALPARK,1,50,,,,,,1,,,One Time Order
40150953,JOE MOLESE MANNHEIM,1,150,,,,,,1,,,One Time Order
40150955,HOTEL SINSHEIM AM TECHNIKMUSEUM,1,130,,,,,,1,,,One Time Order
40150979,BOOTSHAUS,1,600,,,,,,1,,,One Time Order
40150984,FCA WILFERDINGEN,1,80,,,,,,1,,,One Time Order
40151007,GASTHOF-HOTEL ZUM REBSTOCK,1,250,,,,,,1,,,One Time Order
40151074,NEUMA BEACH,1,100,,,,,,1,,,One Time Order
40151100,RESTAURANT D.O.,1,20,,,,,,1,,,One Time Order
40151271,FACHWERK 1670,1,20,,,,,,1,,,One Time Order
40151280,SAALETERRASSEN,1,45,,,,,,1,,,One Time Order
40151302,BAUWAGEN KLEINENGSTINGEN EV.,1,20,,,,,,1,,,One Time Order
40151303,ALEXANDER SCHWEIZER,1,0,,,,,,,,,One Time Order
40151304,GASTSTÄTTE LINIE 1,1,20,,,,,,1,,,One Time Order
40151317,FLUX,1,20,,,,,,1,,,One Time Order
40151330,HORREMER BRAUHAUS,1,20,,,,,,1,,,One Time Order
40151343,DERBY ARENA,1,50,,,,,,1,,,One Time Order
40151344,SAALBAU KOMMER,1,80,,,,,,1,,,One Time Order
40151347,ZUM FASS 2,1,20,,,,,,1,,,One Time Order
40151353,SPACCANAPOLI,1,60,,,,,,1,,,One Time Order
40151392,GREEK CUISINE,1,25,,,,,,1,,,One Time Order
40151416,NACHTFABRIK,1,25,,,,,,1,,,One Time Order
40151417,BAR ARTIST,1,50,,,,,,1,,,One Time Order
40151418,NULL SECHS RISTOBAR,1,10,,,,,,1,,,One Time Order
40151450,IZOSBAR,1,27,,,,,,1,,,One Time Order
40151458,CAFE ATLANTIK,1,10,,,,,,1,,,One Time Order
40151459,COCKTAILBAR KAKADU,1,10,,,,,,1,,,One Time Order
40151532,TSV KERSPLEBEN E.V.,1,25,,,,,,1,,,One Time Order
40151536,BARROQ,1,10,,,,,,1,,,One Time Order
40151538,GHIEN WOK AND SUSHIBAR,1,30,,,,,,1,,,One Time Order
40151539,MAMITA,1,20,,,,,,1,,,One Time Order
40151554,HOTEL DÜRSCHEIDER HOF,1,20,,,,,,1,,,One Time Order
40151560,ARENA BIERGARTEN,1,120,,,,,,1,,,One Time Order
40151590,VEREINSHEIM SC ROT-WEIß VOLKMARODE,1,50,,,,,,1,,,One Time Order
40151615,RESTAURANT SEN,1,30,,,,,,1,,,One Time Order
40151623,PARTYSERVICE BARTHOLMÄS,1,20,,,,,,1,,,One Time Order
40151626,RESTAURANT HATAY,1,30,,,,,,1,,,One Time Order
40151650,LA PROMENADE,1,20,,,,,,1,,,One Time Order
40151692,ZUM GOLDENEN ADLER (PROJEKTNAME),1,40,,,,,,1,,,One Time Order
40151723,LALIBELA,1,20,,,,,,1,,,One Time Order
40151759,MOKO BAR,1,10,,,,,,1,,,One Time Order
40151760,GASTSTÄTTE HAHNHEISER,1,20,,,,,,1,,,One Time Order
40151765,COMETA - REAL MEXICAN FOOD,1,20,,,,,,1,,,One Time Order
40151774,WALDHEIM KREUZBERG,1,50,,,,,,1,,,One Time Order
40151799,LUMBERJACK IRISH PUB,1,20,,,,,,1,,,One Time Order
40151801,HERZ BURE STUB,1,20,,,,,,1,,,One Time Order
40151824,BISTRO 76,1,20,,,,,,1,,,One Time Order
40151830,OCHSEN GASTRO & EVENT GMBH,1,40,,,,,,1,,,One Time Order
40151839,DERSA BOWLING CENTER,1,90,,,,,,1,,,One Time Order
40151895,ZUR SCHLEUSE,1,20,,,,,,1,,,One Time Order
40151916,K12,1,50,,,,,,1,,,One Time Order
40151921,VIET PHO,1,20,,,,,,1,,,One Time Order
40151962,LUX LOUNGE,1,20,,,,,,1,,,One Time Order
40151966,5 STERN BAR,1,15,,,,,,1,,,One Time Order
40151995,HOTEL BURGBLICK MEISSEN,1,40,,,,,,1,,,One Time Order
40152002,SCHÜTZENVEREIN ADLERHORST SULZBACH,1,30,,,,,,1,,,One Time Order
40152036,KRÄCKERS KITCHEN,1,40,,,,,,1,,,One Time Order
40152043,KRONENSTUBE,1,20,,,,,,1,,,One Time Order
40152053,SEEMANNS,1,60,,,,,,1,,,One Time Order
40152076,TENISSIMO DA SIENA,1,20,,,,,,1,,,One Time Order
40152080,CAFE KARL MARX,1,35,,,,,,1,,,One Time Order
40152112,BORGS CAFÉ GOURMANDISE,1,70,,,,,,1,,,One Time Order
40152188,MIGO'S,1,30,,,,,,1,,,One Time Order
40152276,RETRO,1,80,,,,,,1,,,One Time Order
40152322,PATTIES BURGER,1,60,,,,,,1,,,One Time Order
40152337,TENNISVEREIN SCHWARZ GELB EV,1,60,,,,,,1,,,One Time Order
40152375,LEIB & SEELE,1,80,,,,,,1,,,One Time Order
40152378,CROCKPOTS REISKIRCHEN,1,45,,,,,,1,,,One Time Order
40152407,LOST CLUB,1,100,,,,,,1,,,One Time Order
40152408,FILE ASTO,1,45,,,,,,1,,,One Time Order
40152419,SPRITZI,1,40,,,,,,1,,,One Time Order
40152462,YUMAS,1,20,,,,,,1,,,One Time Order
40152482,CAFE LECKERMÄULCHEN,1,20,,,,,,1,,,One Time Order
40152506,FORUM,1,40,,,,,,1,,,One Time Order
40152524,CAFE BAR BEST,1,25,,,,,,1,,,One Time Order
40152559,CARGO BEACHCLUB,1,20,,,,,,1,,,One Time Order
40152576,BOGA'S IM SCHÜTZENHOF HÜTTENBUSCH,1,60,,,,,,1,,,One Time Order
40152580,HOTEL AM PFAHL,1,30,,,,,,1,,,One Time Order
40152582,LANDHOTEL MARGERITENHOF,1,30,,,,,,1,,,One Time Order
40152587,GRAND RESTAURANT SV RÜHEN,1,28,,,,,,1,,,One Time Order
40152588,KASTANIE,1,35,,,,,,1,,,One Time Order
40152590,NATCHADA LÜDERS,1,27,,,,,,1,,,One Time Order
40152607,DOKTOR BERSI,1,200,,,,,,1,,,One Time Order
40152609,WALDSCHÄNKE BOWLING,1,40,,,,,,1,,,One Time Order
40152610,ENERGETIC LIFE,1,20,,,,,,1,,,One Time Order
40152618,HOTEL SONNEN,1,70,,,,,,1,,,One Time Order
40152633,FOSCA,1,20,,,,,,1,,,One Time Order
40152642,FREIBAD RODING,1,60,,,,,,1,,,One Time Order
40152648,IMBISS-MIETEN,1,100,,,,,,1,,,One Time Order
40152667,ESTRADA,1,70,,,,,,1,,,One Time Order
40152672,LANDHAUS AM SEE EX FREILICH,1,100,,,,,,1,,,One Time Order
40152673,ENERGETIC WORLD,1,10,,,,,,1,,,One Time Order
40152676,WALTER PELLERT GASTRO,1,35,,,,,,1,,,One Time Order
40152682,ENERGETIC LIFE STUTTGART,1,20,,,,,,1,,,One Time Order
40152696,FREIBAD GROSSROPPERHAUSEN,1,20,,,,,,1,,,One Time Order
40152697,V8 DINER & STEAKHOUSE,1,28,,,,,,1,,,One Time Order
